Отметка времени,Ваш возраст?,Ваша сфера деятельности?,Как часто вы работаете с персональными данными?,Знаете ли вы о законе персональных данных?,Отправляли ли вы документы с ПД через мессенджеры?,Обрабатываете ли вы данные перед отправкой ?,Я переживаю за утечку своих персональных данных ,Удалять данные вручную неудобно ,"Насколько был бы полезен сервис, который автоматически скрывает ПД.",Стали бы вы пользоваться таким сервисом ,Приходилось ли вам получать документы с чужими персональными данными?,"Проверяете ли вы, какие данные содержатся в документе перед отправкой?",Какие данные вы считаете наиболее чувствительными?,Доверяете ли вы мессенджерам при передаче документов?,Используете ли вы пароли или архивы при отправке документов?,Случалось ли вам случайно отправить документ не тому человеку?,Как вы оцениваете уровень защиты персональных данных в вашей стране?,Насколько удобно вам пользоваться существующими способами защиты данных?,Доверили бы вы свои документы Telegram-боту?,Что вас больше всего беспокоит при использовании таких сервисов?
5/4/2026 2:03:36,18-24,Студент,Редко,Нет,Иногда,Иногда,1,5,5,Возможно,Нет,Иногда,ФИО,Нет,Да,Нет,1,4,Нет,Ошибки обработки
5/4/2026 2:27:32,18-24,Другое,Редко,Слышал(а),Да,Нет,2,2,4,Возможно,Нет,Всегда,Адрес,Частично,Нет,Нет,4,5,Нет,Утечка данных
5/4/2026 4:37:08,18-24,Студент,Иногда,Да,Иногда,Нет,2,5,5,Да,Нет,Всегда,ИИН,Частично,Иногда,Да,2,3,Нет,Утечка данных
5/4/2026 4:39:21,35+,Юриспруденция,Часто,Да,Нет,Да,5,5,5,Да,Да,Всегда,ИИН,Частично,Да,Нет,1,1,Нет,Утечка данных
5/4/2026 6:32:09,18-24,Студент,Иногда,Да,Иногда,Иногда,3,2,4,Возможно,Да,Иногда,ФИО,Да,Да,Да,4,3,Да,Сложность использования
5/4/2026 8:05:58,18-24,Студент,Иногда,Да,Да,Иногда,3,3,5,Возможно,Да,Всегда,ИИН,Частично,Нет,Нет,1,2,Возможно,Ошибки обработки
5/4/2026 8:31:46,18-24,Другое,Часто,Слышал(а),Нет,Нет,3,1,1,Возможно,Да,Всегда,ИИН,Частично,Нет,Нет,1,1,Нет,Утечка данных
5/4/2026 8:41:02,18-24,Студент,Редко,Слышал(а),Да,Да,3,3,3,Возможно,Да,Всегда,Банковские данные,Частично,Да,Нет,3,3,Нет,Утечка данных
5/4/2026 9:04:08,18-24,Студент,Часто,Слышал(а),Иногда,Да,3,3,4,Да,Да,Всегда,Банковские данные,Частично,Иногда,Нет,3,3,Возможно,Утечка данных
5/4/2026 10:59:51,18-24,Студент,Редко,Нет,Нет,Иногда,3,3,1,Да,Да,Всегда,Банковские данные,Частично,Иногда,Нет,4,4,Нет,Ошибки обработки
5/4/2026 11:22:38,18-24,Студент,Часто,Слышал(а),Да,Да,5,3,5,Возможно,Да,Всегда,Банковские данные,Частично,Иногда,Да,4,3,Нет,Утечка данных
5/4/2026 11:42:16,18-24,Студент,Редко,Нет,Нет,Да,2,4,5,Возможно,Нет,Иногда,ИИН,Частично,Иногда,Да,1,1,Да,Ошибки обработки
5/4/2026 14:10:57,18-24,Студент,Редко,Нет,Нет,Да,5,5,5,Возможно,Нет,Всегда,Банковские данные,Нет,Да,Да,2,4,Возможно,Утечка данных
5/4/2026 14:12:33,18-24,Студент,Редко,Слышал(а),Нет,Да,4,3,4,Возможно,Иногда,Иногда,Банковские данные,Нет,Да,Да,1,2,Нет,Утечка данных
5/4/2026 14:12:38,35+,Другое,Редко,Слышал(а),Иногда,Иногда,5,5,5,Возможно,Нет,Всегда,ИИН,Частично,Да,Нет,1,2,Нет,Утечка данных
5/4/2026 14:12:42,18-24,Студент,Редко,Слышал(а),Иногда,Да,5,5,5,Возможно,Иногда,Иногда,Банковские данные,Частично,Да,Нет,3,4,Да,Утечка данных
5/4/2026 14:16:04,18-24,Юриспруденция,Часто,Да,Да,Да,5,5,5,Да,Да,Иногда,Банковские данные,Частично,Да,Да,5,5,Возможно,Утечка данных
5/4/2026 14:16:54,18-24,Юриспруденция,Редко,Слышал(а),Иногда,Нет,5,5,5,Да,Да,Иногда,ИИН,Частично,Иногда,Да,5,5,Возможно,Утечка данных
5/4/2026 14:34:21,35+,Другое,Часто,Да,Иногда,Иногда,3,3,3,Нет,Иногда,Всегда,Банковские данные,Частично,Нет,Да,3,3,Нет,Утечка данных
5/4/2026 14:39:42,18-24,Студент,Часто,Да,Да,Да,3,3,5,Возможно,Да,Всегда,Банковские данные,Нет,Иногда,Да,1,2,Возможно,Утечка данных
5/4/2026 15:13:43,До 18,Другое,Часто,Слышал(а),Нет,Да,3,3,4,Да,Да,Всегда,ИИН,Да,Да,Да,3,4,Да,Ошибки обработки
5/4/2026 15:32:18,35+,Другое,Часто,Нет,Нет,Да,4,4,4,Возможно,Нет,Всегда,Банковские данные,Частично,Да,Нет,4,4,Нет,Утечка данных
5/4/2026 15:51:40,До 18,Другое,Никогда,Нет,Нет,Иногда,5,5,5,Возможно,Нет,Иногда,Банковские данные,Частично,Да,Нет,3,4,Нет,Утечка данных
5/4/2026 16:15:53,25-34,Другое,Часто,Слышал(а),Да,Да,5,5,5,Возможно,Нет,Всегда,Банковские данные,Да,Да,Нет,4,4,Возможно,Утечка данных
5/4/2026 16:20:25,18-24,Студент,Часто,Да,Да,Нет,5,5,5,Да,Да,Иногда,Банковские данные,Частично,Да,Да,3,3,Возможно,Утечка данных
5/4/2026 16:21:02,18-24,Студент,Часто,Да,Да,Да,5,5,5,Да,Да,Всегда,ФИО,Частично,Да,Да,5,5,Возможно,Утечка данных
5/4/2026 16:21:41,35+,Юриспруденция,Часто,Да,Да,Да,5,5,5,Да,Да,Иногда,Банковские данные,Частично,Да,Да,3,3,Возможно,Утечка данных
5/4/2026 16:22:13,18-24,Юриспруденция,Иногда,Да,Да,Иногда,3,3,5,Возможно,Да,Всегда,Банковские данные,Да,Да,Да,3,3,Нет,Утечка данных
5/4/2026 16:22:19,18-24,Студент,Никогда,Да,Да,Иногда,5,5,3,Возможно,Да,Всегда,Телефон,Нет,Да,Нет,3,3,Нет,Ошибки обработки
5/4/2026 17:10:37,18-24,Студент,Часто,Слышал(а),Да,Нет,5,5,4,Возможно,Да,Всегда,Банковские данные,Да,Да,Нет,4,4,Нет,Утечка данных
5/4/2026 17:52:32,35+,Другое,Редко,Слышал(а),Нет,Да,3,3,5,Возможно,Нет,Всегда,Банковские данные,Нет,Да,Нет,5,3,Нет,Сложность использования
5/5/2026 1:58:48,25-34,Другое,Иногда,Слышал(а),Иногда,Иногда,5,5,4,Да,Иногда,Всегда,Банковские данные,Частично,Да,Нет,3,4,Возможно,Утечка данных
5/5/2026 7:36:52,35+,Другое,Часто,Да,Да,Нет,5,5,5,Да,Да,Иногда,Банковские данные,Нет,Иногда,Да,3,2,Возможно,Утечка данных
5/5/2026 7:38:41,35+,Юриспруденция,Часто,Да,Да,Да,5,5,5,Да,Да,Иногда,Банковские данные,Нет,Да,Да,3,2,Да,Утечка данных
